127.0.0.1 - - [08/Jun/2018:09:42:37 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Jun/2018:09:42:38 +0900] "GET /HTML5/input/multi.html HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [08/Jun/2018:09:42:39 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Jun/2018:09:44:06 +0900] "GET /HTML5/input/multi.html HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [08/Jun/2018:09:53:43 +0900] "GET /HTML5/input/multi.html HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [08/Jun/2018:09:54:27 +0900] "GET /HTML5/input/multi.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:00:25 +0900] "GET /HTML5/input/multi.html HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:15:17 +0900] "GET /HTML5/input/multi.html HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:15:17 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:15:37 +0900] "GET /HTML5/input/multi.html HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:41:32 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 646
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:44:34 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:45:04 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:45:04 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:45:35 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:47:07 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:49:05 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:49:44 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:50:32 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:53:19 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:53:27 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1525
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:54:22 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [08/Jun/2018:10:58:16 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:00:11 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1664
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:00:22 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1662
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:00:31 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:00:50 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1654
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:01:30 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:01:57 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:02:11 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:02:20 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:02:28 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:02:40 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1696
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:03:27 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:03:38 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:03:49 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1679
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:04:00 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:04:19 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1701
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:04:43 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:09:17 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:09:30 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:09:54 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:10:16 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:10:27 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:10:43 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:24:50 +0900] "GET /HTML5/input/teacher.html HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:25:22 +0900] "GET /HTML5/input/teacher.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:25:23 +0900] "GET /HTML5/input/teacher.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:25:24 +0900] "GET /HTML5/input/teacher.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:25:24 +0900] "GET /HTML5/input/teacher.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:28:27 +0900] "GET /HTML5/input/teacher.html HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:32:03 +0900] "GET /HTML5/input/teacher.html HTTP/1.1" 200 1699
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:51:29 +0900] "GET /HTML5/input/teacher.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2018:11:51:29 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:12:14 +0900] "GET /HTML5/input/teacher.html HTTP/1.1" 200 1758
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:12:14 +0900] "GET /HTML5/input/input.css HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:13:01 +0900] "GET /HTML5/input/exInput.html HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [08/Jun/2018:12:13:01 +0900] "GET /HTML5/input/input.css HTTP/1.1" 304 -
